Location,Solo_Male,Solo_Female,Duets,Individual,False_Positives,Close,Low_Noise
C05,2675,452,356,3839,372,338,884
F09,2356,324,388,3456,339,190,613
H04,968,242,241,1692,405,219,393
D09,1194,257,113,1677,283,154,370
N20,957,164,235,1591,298,285,512
M04,702,342,167,1378,525,179,335
WD05,729,18,43,833,190,112,259
D03,601,84,70,825,203,107,209
G05,443,40,75,633,166,61,124
N14,312,77,77,543,173,52,131
WB09,430,12,17,476,110,20,88
F05,383,10,12,417,108,16,57
B12M,364,7,12,395,39,23,84
S13T,194,120,32,378,131,42,84
T10,244,48,36,364,39,21,52
K09,160,84,23,290,354,29,63
H09,167,17,28,240,63,23,54
V05,109,19,34,196,39,7,34
J11,107,18,20,165,73,50,73
E07,135,3,6,150,17,15,34
KS06,72,37,18,145,98,32,42
CB11,103,11,7,128,22,13,26
V23,59,34,14,121,273,23,28
M01,65,21,17,120,45,15,29
H05,36,20,19,94,19,12,20
NB5T,41,0,19,79,35,9,21
NB14,41,21,8,78,100,8,15
A11,55,6,8,77,92,7,22
H07,26,12,12,62,46,1,8
M02,28,13,6,53,48,7,15
D05,36,7,4,51,3,2,14
H15,21,3,4,32,51,3,9
C11,25,2,0,27,9,6,15
WD07,16,0,1,18,18,2,7
M05,16,1,0,17,122,0,7
J07,6,2,1,10,14,1,2
E04,4,0,0,4,3,0,3
C01,3,0,0,3,14,0,1
H14,1,1,0,2,1,0,0
A01,0,1,0,1,7,0,0
B02,0,0,0,0,99,,
TOTAL,13884,2530,2123,20660,5046,2084,4737
