bucket,male,female,total
2022-03-13T08:00:00.0,0,0,0
2022-05-03T05:00:00.0,0,0,0
2022-05-04T07:00:00.0,0,0,0
2022-05-05T18:00:00.0,0,0,0
2022-05-08T06:00:00.0,0,0,0
2022-05-13T08:00:00.0,0,0,0
2022-05-15T15:00:00.0,0,1,1
2022-02-25T05:00:00.0,0,0,0
2022-02-25T06:00:00.0,0,0,0
2022-02-25T07:00:00.0,0,0,0
2022-02-25T08:00:00.0,0,0,0
2022-02-25T09:00:00.0,0,0,0
2022-02-25T10:00:00.0,0,0,0
2022-02-25T11:00:00.0,0,0,0
2022-02-25T12:00:00.0,0,0,0
2022-02-25T13:00:00.0,0,0,0
2022-02-25T14:00:00.0,0,0,0
2022-02-25T15:00:00.0,0,0,0
2022-02-25T16:00:00.0,0,0,0
2022-02-25T17:00:00.0,0,0,0
2022-02-25T18:00:00.0,0,0,0
2022-02-26T05:00:00.0,0,0,0
2022-02-26T06:00:00.0,0,0,0
2022-02-26T07:00:00.0,0,0,0
2022-02-26T08:00:00.0,0,0,0
2022-02-26T09:00:00.0,0,0,0
2022-02-26T10:00:00.0,0,0,0
2022-02-26T11:00:00.0,0,0,0
2022-02-26T12:00:00.0,0,0,0
2022-02-26T13:00:00.0,0,0,0
2022-02-26T14:00:00.0,0,0,0
2022-02-26T15:00:00.0,0,0,0
2022-02-26T16:00:00.0,0,0,0
2022-02-26T17:00:00.0,0,0,0
2022-02-26T18:00:00.0,0,0,0
2022-02-27T05:00:00.0,0,0,0
2022-02-27T06:00:00.0,0,0,0
2022-02-27T07:00:00.0,0,0,0
2022-02-27T08:00:00.0,0,0,0
2022-02-27T09:00:00.0,0,0,0
2022-02-27T10:00:00.0,0,0,0
2022-02-27T11:00:00.0,0,0,0
2022-02-27T12:00:00.0,0,0,0
2022-02-27T13:00:00.0,0,0,0
2022-02-27T14:00:00.0,0,0,0
2022-02-27T15:00:00.0,0,0,0
2022-02-27T16:00:00.0,0,0,0
2022-02-27T17:00:00.0,0,0,0
2022-02-27T18:00:00.0,0,0,0
2022-02-28T05:00:00.0,0,0,0
2022-02-28T06:00:00.0,0,0,0
2022-02-28T07:00:00.0,0,0,0
2022-02-28T08:00:00.0,0,0,0
2022-02-28T09:00:00.0,0,0,0
2022-02-28T10:00:00.0,0,0,0
2022-02-28T11:00:00.0,0,0,0
2022-02-28T12:00:00.0,0,0,0
2022-02-28T13:00:00.0,0,0,0
2022-02-28T14:00:00.0,0,0,0
2022-02-28T15:00:00.0,0,0,0
2022-02-28T16:00:00.0,0,0,0
2022-02-28T17:00:00.0,0,0,0
2022-02-28T18:00:00.0,0,0,0
2022-03-01T05:00:00.0,0,0,0
2022-03-01T06:00:00.0,0,0,0
2022-03-01T07:00:00.0,0,0,0
2022-03-01T08:00:00.0,0,0,0
2022-03-01T09:00:00.0,0,0,0
2022-03-01T10:00:00.0,0,0,0
2022-03-01T11:00:00.0,0,0,0
2022-03-01T12:00:00.0,0,0,0
2022-03-01T13:00:00.0,0,0,0
2022-03-01T14:00:00.0,0,0,0
2022-03-01T15:00:00.0,0,0,0
2022-03-01T16:00:00.0,0,0,0
2022-03-01T17:00:00.0,0,0,0
2022-03-01T18:00:00.0,0,0,0
2022-03-02T05:00:00.0,0,0,0
2022-03-02T06:00:00.0,0,0,0
2022-03-02T07:00:00.0,0,0,0
2022-03-02T08:00:00.0,0,0,0
2022-03-02T09:00:00.0,0,0,0
2022-03-02T10:00:00.0,0,0,0
2022-03-02T11:00:00.0,0,0,0
2022-03-02T12:00:00.0,0,0,0
2022-03-02T13:00:00.0,0,0,0
2022-03-02T14:00:00.0,0,0,0
2022-03-02T15:00:00.0,0,0,0
2022-03-02T16:00:00.0,0,0,0
2022-03-02T17:00:00.0,0,0,0
2022-03-02T18:00:00.0,0,0,0
2022-03-03T05:00:00.0,0,0,0
2022-03-03T06:00:00.0,0,0,0
2022-03-03T07:00:00.0,0,0,0
2022-03-03T08:00:00.0,0,0,0
2022-03-03T09:00:00.0,0,0,0
2022-03-03T10:00:00.0,0,0,0
2022-03-03T11:00:00.0,0,0,0
2022-03-03T12:00:00.0,0,0,0
2022-03-03T13:00:00.0,0,0,0
2022-03-03T14:00:00.0,0,0,0
2022-03-03T15:00:00.0,0,0,0
2022-03-03T16:00:00.0,0,0,0
2022-03-03T17:00:00.0,0,0,0
2022-03-03T18:00:00.0,0,0,0
2022-03-04T05:00:00.0,0,0,0
2022-03-04T06:00:00.0,0,0,0
2022-03-04T07:00:00.0,0,0,0
2022-03-04T08:00:00.0,0,0,0
2022-03-04T09:00:00.0,0,0,0
2022-03-04T10:00:00.0,0,0,0
2022-03-04T11:00:00.0,0,0,0
2022-03-04T12:00:00.0,0,0,0
2022-03-04T13:00:00.0,0,0,0
2022-03-04T14:00:00.0,0,0,0
2022-03-04T15:00:00.0,0,0,0
2022-03-04T16:00:00.0,0,0,0
2022-03-04T17:00:00.0,0,0,0
2022-03-04T18:00:00.0,0,0,0
2022-03-05T05:00:00.0,0,0,0
2022-03-05T06:00:00.0,0,0,0
2022-03-05T07:00:00.0,0,0,0
2022-03-05T08:00:00.0,0,0,0
