Location,Solo_Male,Solo_Female,Duets,Individual,False_Positives,Close,Low_Noise
C05,3842,613,509,5473,443,451,1232
F09,3183,422,501,4607,385,260,871
N20,1620,347,368,2703,529,419,841
D09,1708,376,171,2426,320,239,561
M04,1159,508,288,2243,606,257,570
H04,1303,326,303,2235,478,263,552
D03,913,95,104,1216,222,139,288
G05,918,65,103,1189,258,91,238
WD05,729,18,43,833,190,112,259
F05,554,25,25,629,117,27,95
N14,356,79,86,607,178,70,147
WB09,430,12,17,476,110,20,88
S13T,246,136,34,450,154,46,102
NB14,289,90,31,441,199,22,92
B12M,364,7,12,395,39,23,84
T10,244,48,36,364,39,21,52
K09,178,89,24,315,366,32,71
V05,148,28,36,248,43,7,48
H09,167,17,28,240,63,23,54
CB11,166,24,9,208,35,23,53
KS06,87,42,19,167,113,41,53
J11,107,18,20,165,73,50,73
E07,135,3,6,150,17,15,34
NB5T,78,4,24,130,51,13,39
V23,59,34,14,121,273,23,28
M01,65,21,17,120,45,15,29
H05,36,20,19,94,19,12,20
A11,55,6,8,77,92,7,22
H07,26,12,12,62,46,1,8
D05,45,8,4,61,3,2,18
M02,28,13,6,53,48,7,15
H15,21,3,4,32,51,3,9
WD07,16,0,1,18,18,2,7
M05,16,1,0,17,122,0,7
J07,6,2,1,10,14,1,2
N08M,6,0,1,8,22,1,6
E04,4,0,0,4,3,0,3
C01,3,0,0,3,14,0,1
H14,1,1,0,2,1,0,0
A01,0,1,0,1,7,0,0
B02,0,0,0,0,99,,
TOTAL,19311,3514,2884,28593,5905,2738,6672
