month,calls_mean,male_mean,female_mean,duet_mean
1,5.62929061784897,4.169336384439359,1.459954233409611,0.6475972540045767
2,5.2727272727272725,3.987603305785124,1.2851239669421488,0.6033057851239669
3,5.762569832402234,4.368715083798882,1.393854748603352,0.6564245810055865
4,5.972027972027972,4.615384615384615,1.3566433566433567,0.6853146853146853
5,4.8951219512195125,3.9609756097560975,0.9341463414634147,0.36097560975609755
6,4.081871345029239,3.198830409356725,0.8830409356725146,0.37719298245614036
7,3.6465968586387434,2.913612565445026,0.7329842931937173,0.23821989528795812
8,7.67948717948718,5.769230769230769,1.9102564102564104,0.8589743589743589
9,5.745901639344262,4.51912568306011,1.226775956284153,0.5409836065573771
10,7.153392330383481,5.563421828908554,1.5899705014749264,0.7699115044247787
11,4.808126410835214,3.8284424379232505,0.9796839729119639,0.5214446952595937
12,6.242811501597444,4.725239616613418,1.5175718849840256,0.7539936102236422
