Location,Solo_Male,Solo_Female,Duets,Individual,False_Positives,Close,Low_Noise
F09,393,52,61,567,32,20,121
C05,363,65,42,512,37,28,96
N20,172,56,47,322,112,43,136
G05,231,14,15,275,81,13,41
D09,160,60,26,272,22,12,54
M04,135,60,35,265,17,23,82
H04,149,29,29,236,19,15,70
F05,171,15,13,212,9,11,38
NB14,71,18,8,105,37,7,28
S13T,52,16,2,72,23,4,18
CB11,38,11,2,53,4,4,12
V05,39,9,2,52,4,0,14
NB5T,37,4,5,51,16,4,18
K09,18,5,1,25,12,3,8
KS06,15,5,1,22,15,9,11
D05,9,1,0,10,0,0,4
N14,4,1,2,9,2,4,4
N08M,6,0,1,8,22,1,6
TOTAL,2063,421,292,3068,464,201,761
