location,male,female,duet,individual
C05,0.4357,0.2654,0.0684,0.7011
F10,0.5107,0.1902,0.0897,0.7009
S23,0.6015,0.0886,0.0443,0.6901
G05,0.5533,0.04,0.0244,0.5933
D03,0.5447,0.0422,0.0371,0.5869
S13T,0.3435,0.1069,0.0382,0.4504
D09,0.3389,0.0718,0.0317,0.4107
M04,0.3339,0.0651,0.0301,0.399
NB14,0.2985,0.0523,0.0236,0.3508
V04,0.2185,0.0882,0.0378,0.3067
N20,0.1602,0.0776,0.0185,0.2378
CB11,0.1475,0.0683,0.0108,0.2158
H04,0.1803,0.0167,0.01,0.197
H09,0.1709,0.0036,0.0,0.1745
N08M,0.124,0.0165,0.0165,0.1405
A11,0.0791,0.0108,0.0072,0.0899
W04,0.0647,0.0216,0.0043,0.0863
W20,0.0456,0.019,0.0,0.0646
J06,0.0184,0.0147,0.0,0.0331
TOTAL,0.2721,0.0663,0.0259,0.3384
