location,file,box,male,female,duet,not_kiwi,other_label,close_call,ok_call,far_call,low_noise,medium_noise,high_noise,terrible_noise,trip_date
A11,20220513_234500.WAV,"[865, 895]",true,false,false,false,,true,false,false,false,true,false,false,2022-05-27
A11,20220514_010000.WAV,"[605, 653]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
A11,20220514_043000.WAV,"[72, 95]",false,false,false,true,,,,,,,,,2022-05-27
A11,20220514_050000.WAV,"[807, 835]",true,false,false,false,,false,false,true,true,false,false,false,2022-05-27
A11,20220515_220000.WAV,"[327, 358]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
A11,20220516_234501.WAV,"[827, 848]",true,false,false,false,,false,true,false,true,false,false,false,2022-05-27
A11,20220517_043000.WAV,"[362, 378]",true,false,false,false,,false,false,true,true,false,false,false,2022-05-27
B12M,20220427_194500.WAV,"[620, 650]",true,false,false,false,,false,false,true,false,false,true,false,2022-05-27
B12M,20220427_233000.WAV,"[12, 40]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220428_011500.WAV,"[200, 230]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220428_021500.WAV,"[467, 498]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220428_023000.WAV,"[330, 348]",true,false,false,false,,false,false,true,false,false,true,false,2022-05-27
B12M,20220428_041500.WAV,"[777, 808]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220428_043000.WAV,"[887, 895]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220428_053000.WAV,"[92, 108]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220428_054500.WAV,"[432, 463]",true,false,false,false,,false,true,false,false,true,false,false,2022-05-27
B12M,20220428_061500.WAV,"[440, 478]",false,false,true,false,,false,true,false,true,false,false,false,2022-05-27
B12M,20220428_063000.WAV,"[515, 545]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220428_071500.WAV,"[705, 720]",true,false,false,false,,false,false,true,false,false,true,false,2022-05-27
B12M,20220428_200000.WAV,"[882, 895]",true,false,false,false,,true,false,false,false,true,false,false,2022-05-27
B12M,20220428_201500.WAV,"[0, 15]",true,false,false,false,,true,false,false,true,false,false,false,2022-05-27
B12M,20220429_011500.WAV,"[157, 185]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220429_030000.WAV,"[135, 168]",true,false,false,false,,true,false,false,true,false,false,false,2022-05-27
B12M,20220429_043000.WAV,"[0, 33]",true,false,false,false,,false,true,false,true,false,false,false,2022-05-27
B12M,20220429_054500.WAV,"[505, 538]",true,false,false,false,,true,false,false,false,true,false,false,2022-05-27
B12M,20220429_060000.WAV,"[800, 808]",false,false,false,true,,,,,,,,,2022-05-27
B12M,20220429_061500.WAV,"[780, 808]",true,false,false,false,,false,false,true,false,false,true,false,2022-05-27
B12M,20220429_201500.WAV,"[27, 68]",true,false,false,false,,false,true,false,false,true,false,false,2022-05-27
B12M,20220430_013000.WAV,"[642, 678]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220430_024500.WAV,"[867, 888]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220430_033000.WAV,"[90, 123]",true,false,false,false,,false,true,false,false,true,false,false,2022-05-27
B12M,20220430_043000.WAV,"[77, 103]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220430_050000.WAV,"[707, 720]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220430_054500.WAV,"[252, 278]",false,false,false,true,,,,,,,,,2022-05-27
B12M,20220430_203000.WAV,"[767, 785]",true,false,false,false,,false,false,true,true,false,false,false,2022-05-27
B12M,20220430_224500.WAV,"[800, 828]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220501_044500.WAV,"[220, 248]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220501_053000.WAV,"[850, 883]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220501_190000.WAV,"[877, 895]",true,false,false,false,,false,true,false,true,false,false,false,2022-05-27
B12M,20220501_191500.WAV,"[0, 8]",false,false,false,true,,,,,,,,,2022-05-27
B12M,20220501_210000.WAV,"[620, 648]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220501_211500.WAV,"[267, 298]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220501_224500.WAV,"[552, 585]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220501_230000.WAV,"[47, 58]",true,false,false,false,,false,false,true,false,false,true,false,2022-05-27
B12M,20220502_000000.WAV,"[442, 470]",true,false,false,false,,true,false,false,false,false,true,false,2022-05-27
B12M,20220502_003000.WAV,"[865, 895]",false,false,false,true,,,,,,,,,2022-05-27
B12M,20220502_061500.WAV,"[395, 423]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220503_051500.WAV,"[177, 210]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220503_061500.WAV,"[590, 648]",false,false,true,false,,true,false,false,false,false,true,false,2022-05-27
B12M,20220503_063000.WAV,"[375, 408]",true,false,false,false,,false,true,false,false,true,false,false,2022-05-27
B12M,20220503_064500.WAV,"[880, 895]",true,false,false,false,,true,false,false,true,false,false,false,2022-05-27
B12M,20220503_070000.WAV,"[0, 8]",true,false,false,false,,true,false,false,true,false,false,false,2022-05-27
B12M,20220503_191500.WAV,"[717, 745]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220503_193000.WAV,"[757, 785]",true,false,false,false,,false,true,false,false,true,false,false,2022-05-27
B12M,20220503_194500.WAV,"[417, 443]",true,false,false,false,,true,false,false,true,false,false,false,2022-05-27
B12M,20220503_201500.WAV,"[467, 500]",true,false,false,false,,false,true,false,true,false,false,false,2022-05-27
B12M,20220503_203000.WAV,"[452, 460]",false,false,false,true,,,,,,,,,2022-05-27
B12M,20220503_211500.WAV,"[497, 533]",true,false,false,false,,false,true,false,true,false,false,false,2022-05-27
B12M,20220503_230000.WAV,"[37, 63]",true,false,false,false,,false,false,true,false,false,true,false,2022-05-27
B12M,20220504_010000.WAV,"[572, 595]",true,false,false,false,,false,false,true,false,true,false,false,2022-05-27
B12M,20220504_041500.WAV,"[820, 848]",true,false,false,false,,false,false,true,false,false,true,false,2022-05-27
B12M,20220504_051500.WAV,"[35, 53]",true,false,false,false,,false,true,false,true,false,false,false,2022-05-27
B12M,20220504_063000.WAV,"[217, 238]",true,false,false,false,,false,true,false,false,true,false,false,2022-05-27
B12M,20220504_201500.WAV,"[315, 355]",true,false,false,false,,false,true,false,false,true,false,false,2022-05-27
B12M,20220505_011500.WAV,"[260, 290]",true,false,false,false,,true,false,false,true,false,false,false,2022-05-27
B12M,20220505_040000.WAV,"[265, 310]",false,false,true,false,,true,false,false,false,false,false,true,2022-05-27
B12M,20220505_041500.WAV,"[157, 188]",true,false,false,false,,true,false,false,true,false,false,false,2022-05-27
B12M,20220505_044500.WAV,"[265, 300]",true,false,false,false,,false,true,false,true,false,false,false,2022-05-27
B12M,20220505_050000.WAV,"[417, 453]",true,false,false,false,,false,true,false,false,true,false,false,2022-05-27
B12M,20220505_054500.WAV,"[185, 203]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220505_060000.WAV,"[365, 398]",true,false,false,false,,false,true,false,false,true,false,false,2022-05-27
B12M,20220505_063000.WAV,"[247, 255]",true,false,false,false,,false,false,true,false,false,true,false,2022-05-27
B12M,20220505_190000.WAV,"[567, 595]",true,false,false,false,,false,false,true,false,false,true,false,2022-05-27
B12M,20220505_204500.WAV,"[210, 243]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220505_214500.WAV,"[550, 583]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220505_221500.WAV,"[435, 463]",false,false,false,true,,,,,,,,,2022-05-27
B12M,20220506_001500.WAV,"[640, 665]",true,false,false,false,,false,true,false,false,true,false,false,2022-05-27
B12M,20220506_020000.WAV,"[67, 93]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220506_031500.WAV,"[367, 393]",false,false,false,true,,,,,,,,,2022-05-27
B12M,20220506_034500.WAV,"[677, 695]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220506_041500.WAV,"[115, 145]",true,false,false,false,,false,true,false,false,true,false,false,2022-05-27
B12M,20220506_043000.WAV,"[630, 680]",true,false,false,false,,false,false,true,false,true,false,false,2022-05-27
B12M,20220506_050000.WAV,"[502, 533]",true,false,false,false,,false,false,true,false,false,true,false,2022-05-27
B12M,20220506_054500.WAV,"[77, 110]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220506_190000.WAV,"[675, 693]",true,false,false,false,,false,false,true,false,false,true,false,2022-05-27
B12M,20220506_201500.WAV,"[882, 895]",true,false,false,false,,true,false,false,true,false,false,false,2022-05-27
B12M,20220506_203000.WAV,"[205, 233]",true,false,false,false,,false,true,false,false,false,false,true,2022-05-27
B12M,20220506_204500.WAV,"[562, 605]",false,false,true,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220506_224500.WAV,"[310, 343]",true,false,false,false,,false,true,false,false,true,false,false,2022-05-27
B12M,20220507_020000.WAV,"[67, 78]",true,false,false,false,,false,false,true,false,true,false,false,2022-05-27
B12M,20220507_041500.WAV,"[605, 640]",true,false,false,false,,false,true,false,false,true,false,false,2022-05-27
B12M,20220507_064500.WAV,"[572, 608]",true,false,false,false,,false,true,false,true,false,false,false,2022-05-27
B12M,20220507_190000.WAV,"[330, 353]",true,false,false,false,,false,true,false,true,false,false,false,2022-05-27
B12M,20220507_191500.WAV,"[215, 243]",true,false,false,false,,false,false,true,true,false,false,false,2022-05-27
B12M,20220507_211500.WAV,"[625, 650]",true,false,false,false,,false,false,true,false,true,false,false,2022-05-27
B12M,20220507_221500.WAV,"[147, 163]",false,false,false,true,,,,,,,,,2022-05-27
B12M,20220508_200000.WAV,"[850, 863]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220508_211500.WAV,"[265, 283]",true,false,false,false,,false,true,false,false,false,false,true,2022-05-27
B12M,20220508_220000.WAV,"[465, 488]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220508_234500.WAV,"[672, 708]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220509_020000.WAV,"[612, 645]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220509_021500.WAV,"[665, 695]",true,false,false,false,,false,false,true,false,false,true,false,2022-05-27
B12M,20220509_031500.WAV,"[152, 160]",false,false,false,true,,,,,,,,,2022-05-27
B12M,20220509_041500.WAV,"[60, 90]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220509_043000.WAV,"[180, 213]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220509_053000.WAV,"[872, 893]",false,false,false,true,,,,,,,,,2022-05-27
B12M,20220509_054500.WAV,"[5, 18]",true,false,false,false,,false,false,true,false,false,true,false,2022-05-27
B12M,20220509_064500.WAV,"[175, 185]",true,false,false,false,,false,true,false,false,true,false,false,2022-05-27
B12M,20220509_214500.WAV,"[247, 270]",true,false,false,false,,false,false,true,false,true,false,false,2022-05-27
B12M,20220510_040000.WAV,"[535, 548]",true,false,false,false,,false,true,false,true,false,false,false,2022-05-27
B12M,20220510_064500.WAV,"[622, 650]",false,false,false,true,,,,,,,,,2022-05-27
B12M,20220510_190000.WAV,"[382, 398]",true,false,false,false,,false,false,true,false,false,true,false,2022-05-27
B12M,20220510_193000.WAV,"[825, 858]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220510_194500.WAV,"[535, 565]",true,false,false,false,,false,true,false,true,false,false,false,2022-05-27
B12M,20220510_220000.WAV,"[617, 625]",true,false,false,false,,false,false,true,false,false,true,false,2022-05-27
B12M,20220511_001500.WAV,"[887, 895]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220511_010000.WAV,"[415, 443]",true,false,false,false,,false,false,true,true,false,false,false,2022-05-27
B12M,20220511_024500.WAV,"[262, 288]",false,false,false,true,,,,,,,,,2022-05-27
B12M,20220511_031500.WAV,"[670, 698]",true,false,false,false,,false,true,false,true,false,false,false,2022-05-27
B12M,20220511_061500.WAV,"[350, 383]",true,false,false,false,,false,true,false,true,false,false,false,2022-05-27
B12M,20220511_064500.WAV,"[647, 658]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220511_200000.WAV,"[520, 578]",false,false,true,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220511_211500.WAV,"[675, 715]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220512_043000.WAV,"[762, 790]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220512_060000.WAV,"[640, 655]",false,false,false,true,,,,,,,,,2022-05-27
B12M,20220512_193000.WAV,"[145, 180]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220512_210000.WAV,"[30, 50]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220512_214500.WAV,"[295, 320]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220512_221500.WAV,"[857, 870]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220512_233000.WAV,"[787, 805]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220513_001500.WAV,"[557, 588]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
B12M,20220513_190000.WAV,"[332, 360]",true,false,false,false,,false,true,false,false,false,true,false,2022-05-27
